run,configuration,metric,numerator_min,numerator_max,denominator_min,denominator_max,percent_min,percent_max
D,qwen_omni_nonthinking,Acc0,22,22,48,48,45.833333333333336,45.833333333333336
D,qwen_omni_nonthinking,CAA_OC,10,10,22,22,45.45454545454545,45.45454545454545
D,qwen_omni_nonthinking,IPS_OC,21,21,22,22,95.45454545454545,95.45454545454545
D,qwen_omni_nonthinking,TextAcc,19,19,48,48,39.583333333333336,39.583333333333336
D,qwen_omni_nonthinking,AN,10,10,48,48,20.833333333333332,20.833333333333332
D,qwen_omni_nonthinking,CAA_AN,4,4,10,10,40.0,40.0
D,qwen_omni_nonthinking,IPS_AN,9,9,10,10,90.0,90.0
D,qwen_omni_nonthinking,SCG,3,3,48,48,6.25,6.25
D,qwen_omni_thinking,Acc0,22,22,48,48,45.833333333333336,45.833333333333336
D,qwen_omni_thinking,CAA_OC,13,13,22,22,59.09090909090909,59.09090909090909
D,qwen_omni_thinking,IPS_OC,16,16,22,22,72.72727272727273,72.72727272727273
D,qwen_omni_thinking,TextAcc,18,18,48,48,37.5,37.5
D,qwen_omni_thinking,AN,10,10,48,48,20.833333333333332,20.833333333333332
D,qwen_omni_thinking,CAA_AN,7,7,10,10,70.0,70.0
D,qwen_omni_thinking,IPS_AN,7,7,10,10,70.0,70.0
D,qwen_omni_thinking,SCG,5,5,48,48,10.416666666666666,10.416666666666666
D,gemini_302_flash,Acc0,15,15,48,48,31.25,31.25
D,gemini_302_flash,CAA_OC,5,6,15,15,33.333333333333336,40.0
D,gemini_302_flash,IPS_OC,8,8,15,15,53.333333333333336,53.333333333333336
D,gemini_302_flash,TextAcc,16,27,48,48,33.333333333333336,56.25
D,gemini_302_flash,AN,6,8,48,48,12.5,16.666666666666668
D,gemini_302_flash,CAA_AN,1,2,6,8,14.285714285714286,28.571428571428573
D,gemini_302_flash,IPS_AN,2,4,6,8,33.333333333333336,50.0
D,gemini_302_flash,SCG,0,1,48,48,0.0,2.0833333333333335
